pos	value	group	Pos	total	base	proportion	pos_from_5end	sample
45	27024	C.T	45	2602654	C	0.0103832472545333	45	PL0001_mapped_At_q20.sorted.mapDamage
46	26105	C.T	46	2517666	C	0.0103687304034769	46	PL0001_mapped_At_q20.sorted.mapDamage
47	25296	C.T	47	2413608	C	0.0104805751389621	47	PL0001_mapped_At_q20.sorted.mapDamage
48	23574	C.T	48	2266218	C	0.0104023531716719	48	PL0001_mapped_At_q20.sorted.mapDamage
49	22612	C.T	49	2184973	C	0.0103488692995291	49	PL0001_mapped_At_q20.sorted.mapDamage
50	21932	C.T	50	2097872	C	0.010454403319173	50	PL0001_mapped_At_q20.sorted.mapDamage
51	20431	C.T	51	1972830	C	0.0103561888251902	51	PL0001_mapped_At_q20.sorted.mapDamage
52	19750	C.T	52	1900544	C	0.0103917615167026	52	PL0001_mapped_At_q20.sorted.mapDamage
53	18989	C.T	53	1815310	C	0.0104604723160232	53	PL0001_mapped_At_q20.sorted.mapDamage
54	17967	C.T	54	1703896	C	0.0105446576551621	54	PL0001_mapped_At_q20.sorted.mapDamage
55	17048	C.T	55	1640593	C	0.010391364585854	55	PL0001_mapped_At_q20.sorted.mapDamage
56	16353	C.T	56	1560297	C	0.0104806969442356	56	PL0001_mapped_At_q20.sorted.mapDamage
57	15585	C.T	57	1465256	C	0.0106363666144346	57	PL0001_mapped_At_q20.sorted.mapDamage
58	14872	C.T	58	1406562	C	0.0105732985819324	58	PL0001_mapped_At_q20.sorted.mapDamage
59	14297	C.T	59	1338248	C	0.010683371094147	59	PL0001_mapped_At_q20.sorted.mapDamage
60	13271	C.T	60	1254932	C	0.0105750749841426	60	PL0001_mapped_At_q20.sorted.mapDamage
61	12442	C.T	61	1205804	C	0.0103184265436174	61	PL0001_mapped_At_q20.sorted.mapDamage
62	12109	C.T	62	1146484	C	0.0105618569469788	62	PL0001_mapped_At_q20.sorted.mapDamage
63	11530	C.T	63	1076773	C	0.0107079207966767	63	PL0001_mapped_At_q20.sorted.mapDamage
64	11027	C.T	64	1029257	C	0.0107135535633957	64	PL0001_mapped_At_q20.sorted.mapDamage
65	10406	C.T	65	978722	C	0.0106322326462468	65	PL0001_mapped_At_q20.sorted.mapDamage
66	9825	C.T	66	916845	C	0.0107160970502102	66	PL0001_mapped_At_q20.sorted.mapDamage
