Iteration	Plus_Modern	Minus_Modern	Binomial_p	Fisher_p
538	6	2	0.2890625	0.131934731934732
539	8	0	0.0078125	0.00699300699300699
540	7	1	0.0703125	0.0405594405594406
541	7	1	0.0703125	0.0405594405594406
542	5	3	0.7265625	0.314685314685315
543	7	1	0.0703125	0.0405594405594406
544	7	1	0.0703125	0.0405594405594406
545	8	0	0.0078125	0.00699300699300699
546	7	1	0.0703125	0.0405594405594406
547	5	3	0.7265625	0.314685314685315
548	8	0	0.0078125	0.00699300699300699
549	6	2	0.2890625	0.131934731934732
550	8	0	0.0078125	0.00699300699300699
551	7	1	0.0703125	0.0405594405594406
552	7	1	0.0703125	0.0405594405594406
553	7	1	0.0703125	0.0405594405594406
554	7	1	0.0703125	0.0405594405594406
555	7	1	0.0703125	0.0405594405594406
556	7	1	0.0703125	0.0405594405594406
557	8	0	0.0078125	0.00699300699300699
558	7	1	0.0703125	0.0405594405594406
559	8	0	0.0078125	0.00699300699300699
560	7	1	0.0703125	0.0405594405594406
561	8	0	0.0078125	0.00699300699300699
562	7	1	0.0703125	0.0405594405594406
563	8	0	0.0078125	0.00699300699300699
564	7	1	0.0703125	0.0405594405594406
565	6	2	0.2890625	0.131934731934732
566	6	2	0.2890625	0.131934731934732
567	8	0	0.0078125	0.00699300699300699
568	8	0	0.0078125	0.00699300699300699
569	8	0	0.0078125	0.00699300699300699
570	7	1	0.0703125	0.0405594405594406
571	8	0	0.0078125	0.00699300699300699
572	5	3	0.7265625	0.314685314685315
573	6	2	0.2890625	0.131934731934732
574	7	1	0.0703125	0.0405594405594406
575	7	1	0.0703125	0.0405594405594406
576	7	1	0.0703125	0.0405594405594406
577	7	1	0.0703125	0.0405594405594406
578	8	0	0.0078125	0.00699300699300699
579	7	1	0.0703125	0.0405594405594406
580	8	0	0.0078125	0.00699300699300699
581	8	0	0.0078125	0.00699300699300699
582	6	2	0.2890625	0.131934731934732
583	7	1	0.0703125	0.0405594405594406
584	3	5	0.7265625	1
585	5	3	0.7265625	0.314685314685315
586	6	2	0.2890625	0.131934731934732
587	6	2	0.2890625	0.131934731934732
588	6	2	0.2890625	0.131934731934732
589	7	1	0.0703125	0.0405594405594406
590	8	0	0.0078125	0.00699300699300699
591	6	2	0.2890625	0.131934731934732
592	7	1	0.0703125	0.0405594405594406
593	8	0	0.0078125	0.00699300699300699
594	6	2	0.2890625	0.131934731934732
595	7	1	0.0703125	0.0405594405594406
596	7	1	0.0703125	0.0405594405594406
597	8	0	0.0078125	0.00699300699300699
598	6	2	0.2890625	0.131934731934732
599	7	1	0.0703125	0.0405594405594406
600	7	1	0.0703125	0.0405594405594406
601	6	2	0.2890625	0.131934731934732
602	6	2	0.2890625	0.131934731934732
603	6	2	0.2890625	0.131934731934732
604	6	2	0.2890625	0.131934731934732
605	8	0	0.0078125	0.00699300699300699
606	8	0	0.0078125	0.00699300699300699
607	8	0	0.0078125	0.00699300699300699
608	8	0	0.0078125	0.00699300699300699
609	8	0	0.0078125	0.00699300699300699
610	8	0	0.0078125	0.00699300699300699
611	6	2	0.2890625	0.131934731934732
612	6	2	0.2890625	0.131934731934732
613	4	4	1	0.608391608391609
614	6	2	0.2890625	0.131934731934732
615	8	0	0.0078125	0.00699300699300699
616	6	2	0.2890625	0.131934731934732
617	6	2	0.2890625	0.131934731934732
618	7	1	0.0703125	0.0405594405594406
619	7	1	0.0703125	0.0405594405594406
620	7	1	0.0703125	0.0405594405594406
621	7	1	0.0703125	0.0405594405594406
622	8	0	0.0078125	0.00699300699300699
623	7	1	0.0703125	0.0405594405594406
624	7	1	0.0703125	0.0405594405594406
625	7	1	0.0703125	0.0405594405594406
626	8	0	0.0078125	0.00699300699300699
627	7	1	0.0703125	0.0405594405594406
628	6	2	0.2890625	0.131934731934732
629	8	0	0.0078125	0.00699300699300699
630	5	3	0.7265625	0.314685314685315
631	8	0	0.0078125	0.00699300699300699
632	4	4	1	0.608391608391609
633	7	1	0.0703125	0.0405594405594406
634	7	1	0.0703125	0.0405594405594406
635	5	3	0.7265625	0.314685314685315
636	7	1	0.0703125	0.0405594405594406
