Run	Plus_Modern	Minus_Modern	Binomial_p
326	7	1	0.0703125
327	8	0	0.0078125
328	5	3	0.7265625
329	7	1	0.0703125
330	7	1	0.0703125
331	7	1	0.0703125
332	7	1	0.0703125
333	6	2	0.2890625
334	8	0	0.0078125
335	8	0	0.0078125
336	6	2	0.2890625
337	8	0	0.0078125
338	7	1	0.0703125
339	7	1	0.0703125
340	5	3	0.7265625
341	7	1	0.0703125
342	8	0	0.0078125
343	6	2	0.2890625
344	7	1	0.0703125
345	6	2	0.2890625
346	8	0	0.0078125
347	7	1	0.0703125
348	7	1	0.0703125
349	8	0	0.0078125
350	5	3	0.7265625
351	8	0	0.0078125
352	6	2	0.2890625
353	7	1	0.0703125
354	5	3	0.7265625
355	8	0	0.0078125
356	7	1	0.0703125
357	6	2	0.2890625
358	5	3	0.7265625
359	6	2	0.2890625
360	7	1	0.0703125
361	5	3	0.7265625
362	5	3	0.7265625
363	7	1	0.0703125
364	6	2	0.2890625
365	6	2	0.2890625
366	5	3	0.7265625
367	7	1	0.0703125
368	7	1	0.0703125
369	8	0	0.0078125
370	6	2	0.2890625
371	6	2	0.2890625
372	6	2	0.2890625
373	7	1	0.0703125
374	7	1	0.0703125
375	5	3	0.7265625
376	6	2	0.2890625
377	6	2	0.2890625
378	7	1	0.0703125
379	7	1	0.0703125
380	7	1	0.0703125
381	6	2	0.2890625
382	8	0	0.0078125
383	6	2	0.2890625
384	7	1	0.0703125
385	8	0	0.0078125
386	7	1	0.0703125
387	8	0	0.0078125
388	8	0	0.0078125
389	8	0	0.0078125
390	7	1	0.0703125
391	6	2	0.2890625
392	7	1	0.0703125
393	6	2	0.2890625
394	7	1	0.0703125
395	8	0	0.0078125
396	6	2	0.2890625
397	6	2	0.2890625
398	5	3	0.7265625
399	8	0	0.0078125
400	7	1	0.0703125
401	6	2	0.2890625
402	8	0	0.0078125
403	7	1	0.0703125
404	7	1	0.0703125
405	7	1	0.0703125
406	7	1	0.0703125
407	7	1	0.0703125
408	6	2	0.2890625
